captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
16260403,16260927,16293351,16294399,32.424,0
16294739,16295443,16329107,16329898,33.664,0
16330386,16330742,16363836,16364865,33.094,0
16365414,16366899,16400712,16401637,33.813,0
16402087,16402479,16434423,16434876,31.945,0
16435128,16435359,16468548,16470322,33.189,0
16471399,16471998,16504726,16505605,32.728,0
16505960,16507488,16539428,16539944,31.940,0
16540224,16540500,16573259,16573923,32.759,0
16574252,16574629,16608291,16609794,33.662,0
16611025,16612232,16646652,16647785,34.420,0
16647833,16648630,16681430,16682774,32.800,0
16683519,16684103,16716464,16716842,32.361,0
16717169,16717521,16751005,16753107,33.484,0
16753207,16754224,16787320,16788184,33.096,0
16788444,16788881,16821288,16822437,32.407,0
16822871,16823490,16856336,16857496,32.846,0
16858053,16859343,16892659,16893161,33.316,0
16893487,16893892,16926884,16927547,32.992,0
16927858,16928166,16960782,16962029,32.617,0
16962450,16963064,16995565,16996621,32.501,0
16997000,16997605,17031385,17033213,33.780,0
17033910,17034931,17068033,17068934,33.102,0
17069170,17069578,17102293,17102722,32.716,0
17102939,17103196,17134902,17135466,31.706,0
17135716,17135996,17168783,17169126,32.787,0
17169349,17169676,17202421,17203262,32.746,0
17203297,17204270,17236942,17237328,32.672,0
17237551,17237789,17270435,17272606,32.646,0
17273668,17274969,17308592,17309255,33.623,0
17309679,17309997,17343389,17344269,33.392,0
17344670,17345158,17377527,17379456,32.370,0
17380225,17381462,17414524,17416882,33.062,0
17417708,17418405,17451444,17451844,33.039,0
17452055,17452362,17485473,17486879,33.111,0
17487242,17487681,17520046,17520485,32.365,0
17520695,17520907,17553098,17553534,32.192,0
17553773,17553986,17587248,17587694,33.262,0
17587926,17588165,17621031,17621513,32.866,0
17621842,17622107,17654865,17655221,32.758,0
17655570,17655769,17688217,17688701,32.448,0
17688927,17689292,17723101,17724422,33.809,0
17725389,17726008,17758810,17760834,32.802,0
17760933,17762141,17794687,17795359,32.546,0
17795605,17795927,17829273,17830761,33.347,0
17831227,17832049,17866059,17866477,34.010,0
17901769,0,0,17902340,0.000,0
17901769,17903426,17935752,17937836,32.325,0
17938619,17939297,17972241,17973580,32.945,0
17973868,17974424,18008070,18009229,33.646,0
18009671,18010655,18044849,18045676,34.194,0
18045961,18046384,18078883,18080905,32.498,0
18081834,18082477,18114888,18116161,32.412,0
18116219,18116757,18149921,18150694,33.163,0
18151162,18151667,18185838,18186863,34.171,0
18187167,18187654,18220101,18221397,32.446,0
18221949,18222565,18254880,18255868,32.315,0
18292154,0,0,18292175,0.000,0
18292154,18292959,18327172,18327959,34.213,0
18328198,18328620,18361075,18362273,32.455,0
18362853,18363431,18395744,18397007,32.313,0
18397494,18398027,18431028,18431569,33.002,0
18431830,18432365,18465747,18467308,33.382,0
18467434,18468229,18500462,18501114,32.232,0
18501511,18501842,18534006,18535787,32.164,0
18536532,18537036,18570122,18570995,33.086,0
18607619,0,0,18608122,0.000,0
18607619,18609002,18642074,18644466,33.073,0
